Level,Taught by,Credits,Class Size,Pay
Graduate: PHD,Group III: Other,3,9,"$2,670 "
Graduate: PHD,Group III: Other,3,10,"$2,670 "
Graduate: PHD,Group III: Other,3,11,"$2,670 "
Graduate: PHD,Group III: Other,3,12,"$2,670 "
Graduate: PHD,Group III: Other,3,13,"$2,670 "
Graduate: PHD,Group III: Other,4,1,$740 
Graduate: PHD,Group III: Other,4,2,"$1,480 "
Graduate: PHD,Group III: Other,4,3,"$2,220 "
Graduate: PHD,Group III: Other,4,4,"$2,960 "
Graduate: PHD,Group III: Other,4,5,"$3,560 "
Graduate: PHD,Group III: Other,4,6,"$3,560 "
Graduate: PHD,Group III: Other,4,7,"$3,560 "
Graduate: PHD,Group III: Other,4,8,"$3,560 "
Graduate: PHD,Group III: Other,4,9,"$3,560 "
Graduate: PHD,Group III: Other,4,10,"$3,560 "
Graduate: PHD,Group III: Other,4,11,"$3,560 "
Graduate: PHD,Group III: Other,4,12,"$3,560 "
Graduate: PHD,Group III: Other,4,13,"$3,560 "
